state,county,site_type,site_version,captcha_protected,home_url
ia,kossuth,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,lee (north),ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,lee (south),ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,linn,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,louisa,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,lucas,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,lyon,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,madison,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,mahaska,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,marion,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,marshall,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,mills,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,mitchell,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,monona,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,monroe,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,montgomery,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,muscatine,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,obrien,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,osceola,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,page,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,palo alto,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,plymouth,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,pocahontas,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,polk,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,pottawattamie,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,poweshiek,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,ringgold,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,sac,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,scott,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,shelby,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,sioux,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,story,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,tama,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,taylor,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,union,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,van buren,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,wapello,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,warren,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,washington,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
ia,wayne,ia,,TRUE,https://www.iowacourts.state.ia.us/ESAWebApp/TrialCourtStateWide
